price_x,size,brand,category,INNER SOLE,fabric_0,fabric_1,fabric_2,fabric_3,fabric_4,fabric_5,fabric_6,generalized_category,color,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,notes_0,notes_1,notes_2,notes_3,notes_4,notes_5,notes_6,notes_7,notes_8,notes_9,notes_10,notes_11,notes_12,notes_13,notes_14,notes_15,notes_16,notes_17,notes_18,notes_19,notes_20,notes_21,notes_22,notes_23,notes_24,notes_25,notes_26,notes_27,notes_28,notes_29,notes_30,notes_31,notes_32,notes_33,notes_34,notes_35,notes_36,notes_37,notes_38,notes_39,notes_40,notes_41,notes_42,notes_43,notes_44,notes_45,notes_46,notes_47,notes_48,notes_49,notes_50,notes_51,notes_52,notes_53,notes_54,notes_55,notes_56,notes_57,notes_58,notes_59,notes_60,notes_61,notes_62,text_0,text_1,text_2,text_3,text_4,text_5,condition_0,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10,condition_11,condition_12,condition_13,condition_14
59.0,10-12,AMAYA,top,unknown,polyester,unknown,unknown,unknown,unknown,unknown,unknown,upper,"['satin', 'black']",satin,black, , , , , , ,sleeve,asymmetric,angled,features,hemline,side,right,gathered, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,bn,black,kanzo,satin, , ,tag,new,brand, , , , , , , , , , , , 
50.0,10,AMAYA By Augustine,top,unknown,polyester,unknown,unknown,unknown,unknown,unknown,unknown,upper,"['black', 'white']",black,white, , , , , , ,slip,required,sleeve,chiffon,standard,assymetric,black,fit,neckline,flared, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,alba,splatter,print, , , ,tag,fabric,new,back,pull,brand, , , , , , , , , 
30.0,14,ANALYTIC ,skirt,unknown,elastane,rayon,polyester,unknown,unknown,unknown,unknown,lower,['black'],black, , , , , , , ,elasticated,waist,stretch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,aline,midi, , , , ,excellent,preloved, , , , , , , , , , , , , 
45.0,16,ANDREA MOORE ,skirt,unknown,cotton,acetate,unknown,unknown,unknown,unknown,unknown,lower,"['black', 'grey']",black,grey, , , , , , ,nz,stretch,lined,zip,hemline,back,gathered,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,print,geo, , , , ,excellent,preloved, , , , , , , , , , , , , 
30.0,10,ANDREA MOORE ,pants,unknown,viscose,polyester,unknown,unknown,unknown,unknown,unknown,lower,"['charcoal', 'grey']",charcoal,grey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,dress,waisted,high, , , ,preloved,good, , , , , , , , , , , , , 
45.0,16,ANDREA MOORE ,skirt,unknown,acetate,nylon,polyester,cotton,lycra,unknown,unknown,lower,['black'],black, , , , , , , ,nz,lined,zip,back,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,jacquard,leopard, , , , ,excellent,preloved, , , , , , , , , , , , , 
45.0,16,ANDREA MOORE ,skirt,unknown,cotton,acetate,nylon,unknown,unknown,unknown,unknown,lower,['black'],black, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,pleat, , , , , ,excellent,preloved, , , , , , , , , , , , , 
30.0,14-16,ANDREA MOORE ,top,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,sleeve,princess,stripe, , , ,unknown, , , , , , , , , , , , , , 
20.0,8,ANDREA MOORE ,skirt,unknown,acetate,viscose,unknown,unknown,unknown,unknown,unknown,lower,['multi'],multi, , , , , , , ,elasticated,nz,waist,lined, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,mini,printed, , , , ,excellent,preloved, , , , , , , , , , , , , 
45.0,12,ANDREA MOORE ,skirt,unknown,cotton,linen,acetate,unknown,unknown,unknown,unknown,lower,"['dark', 'beige', 'blue']",dark,beige,blue, , , , , ,pockets,nz,lined,zip,side,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,scandi,linen,blend,print, , ,excellent,preloved, , , , , , , , , , , , , 
40.0,10,ANDREA MOORE ,jeans,unknown,elastane,cotton,unknown,unknown,unknown,unknown,unknown,lower,['black'],black, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ankle,skinny,grazer, , , ,excellent,preloved, , , , , , , , , , , , , 
45.0,12,ANDREA MOORE ,dress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,striped,tunic, , , , ,unknown, , , , , , , , , , , , , , 
95.0,10-12,ANDREA MOORE ,dress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,structured,shoulder,wrap,silk, , ,unknown, , , , , , , , , , , , , , 
49.0,12,ANDREA MOORE ,dress,unknown,cotton,acetate,unknown,unknown,unknown,unknown,unknown,full_body,"['dark', 'blue', 'white']",dark,blue,white, , , , , ,nz,lined,zip,back,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,brocade,star,dress,swan, , ,excellent,preloved, , , , , , , , , , , , , 
35.0,16,ANDREA MOORE ,skirt,unknown,acetate,wool,unknown,unknown,unknown,unknown,unknown,lower,['grey'],grey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,pencil,wool, , , , ,excellent,preloved, , , , , , , , , , , , , 
40.0,10-12,ANGEL LACE ,tunic,unknown,linen,unknown,unknown,unknown,unknown,unknown,unknown,upper,"['brown', 'charcoal', 'grey']",brown,charcoal,grey, , , , , ,roomy,nz,style,er,relaxed,pull, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,low,linen,hi, , , ,excellent,preloved, , , , , , , , , , , , , 
39.0,12-14,ANIMALE ,top,unknown,cotton,linen,unknown,unknown,unknown,unknown,unknown,upper,"['grey', 'light']",grey,light, , , , , , ,pocket,sle,front,stretch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,linen,blend, , , , ,excellent,preloved, , , , , , , , , , , , , 
29.0,10-12,ANIMALE ,top,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,bolero,red, , , , ,unknown, , , , , , , , , , , , , , 
32.0,16,ANKO ,top,unknown,cotton,unknown,unknown,unknown,unknown,unknown,unknown,upper,['mustard'],mustard, , , , , , , ,nape,sle,neck,button, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,cotton,eyelet,mustard, , , ,excellent,preloved, , , , , , , , , , , , , 
20.0,12,ANKO ,jacket,unknown,all,polyester,unknown,unknown,unknown,unknown,unknown,outerwear,"['rusty', 'red']",rusty,red, , , , , , ,pockets,sleeve,elasticated,ribbed,lined,front,zip,hemline,neckline, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,bomber,rusty,red, , , ,excellent,preloved, , , , , , , , , , , , , 
69.0,10,ANNA THOMAS,coat,unknown,,linen,acetate,wool/cashmere,unknown,unknown,unknown,outerwear,"['beige', 'creamy']",beige,creamy, , , , , , ,pockets,italy,lined,front,shoulders,padd,button,australia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,au,woven, , , , ,excellent,preloved, , , , , , , , , , , , , 
89.0,10-12,ANNAH S,dress,unknown,rayon,spex,nylon,polyester,cotton,silk,unknown,full_body,"['charcoal', 'maroon', 'gold', 'brown', 'grey', 'red']",charcoal,maroon,gold,brown,grey,red, , ,lace,annah,reversible,dress,multiple,style,flip,peak,features,stretton,hem,wrap,prints,tulle,print, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,reversible,silk,flipit,wrap,blend, ,preloved,good, , , , , , , , , , , , , 
59.0,12,ANNAH S ,dress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,abstract,chiffon,berry, , , ,unknown, , , , , , , , , , , , , , 
79.0,10,ANNAH S ,dress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,chameleon,wrap, , , , ,unknown, , , , , , , , , , , , , , 
35.0,10-12,ANNAH S ,top,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,mesh,floral,print, , , ,unknown, , , , , , , , , , , , , , 
49.0,10,ANNAH S ,dress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,vintage,fringed,inspired, , , ,unknown, , , , , , , , , , , , , , 
39.0,10-12,ANNAH S ,bolero,unknown,cotton,polyester,unknown,unknown,unknown,unknown,unknown,upper,"['mossy', 'green']",mossy,green, , , , , , ,nz,stretch,length,front,open,fasten,sleeves, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,green, , , , , ,excellent,preloved, , , , , , , , , , , , , 
40.0,10-12,ANNAH S ,blouse,unknown,viscose,unknown,unknown,unknown,unknown,unknown,unknown,upper,"['satin', 'black']",satin,black, , , , , , ,nz,stretch,length,half,sleeves, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,low,hi, , , , ,excellent,preloved, , , , , , , , , , , , , 
45.0,12,ANNAH S ,skirt,unknown,rayon,spex,polyester,unknown,unknown,unknown,unknown,lower,['grey'],grey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,maxi,knit, , , , ,excellent,preloved, , , , , , , , , , , , , 
45.0,10,ANNAH S ,coat,unknown,polyester,unknown,unknown,unknown,unknown,unknown,unknown,outerwear,['green'],green, , , , , , , ,elasticated,nz,waist,stretch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,mesh,petty, , , , ,excellent,preloved, , , , , , , , , , , , , 
35.0,10,ANNAH S ,top,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,thread,shoulder,cold,metallic, , ,unknown, , , , , , , , , , , , , , 
32.0,10,ANNAH S ,tunic,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,pretty,pink,tiered, , , ,unknown, , , , , , , , , , , , , , 
49.0,10,ANNAH S ,dress,unknown,cotton,polyester,spex,nylon,unknown,unknown,unknown,full_body,['green'],green, , , , , , , ,nz,stretch,elasticated,shoulder,neckline,rosettes,straps,along, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,lace,rosette,detail, , , ,reinforced,stitching,straps,preloved,good, , , , , , , , , , 
55.0,16,ANNAH S ,dress,unknown,silk,viscose,polyester,unknown,unknown,unknown,unknown,full_body,"['multi', 'mustard']",multi,mustard, , , , , , ,stretch,lined,zip,waist,side,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,floral,blend,silk, , , ,preloved,good, , , , , , , , , , , , , 
60.0,8-10,ANNAH S ,dress,unknown,cotton,metal,linen,nylon,unknown,unknown,unknown,full_body,"['grey', 'blue']",grey,blue, , , , , , ,nz,front,back,fastens,wraps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,linen,wrap,blend, , , ,excellent,preloved, , , , , , , , , , , , , 
45.0,10-12,ANNAH S PINK ,dress,unknown,polyester,unknown,unknown,unknown,unknown,unknown,unknown,full_body,"['black', 'white']",black,white, , , , , , ,length,elasticated,style,half,sleeves,pull,neckline,flared, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,shoulder,ever,smitten, , , ,preloved,good, , , , , , , , , , , , , 
75.0,16,ANNAH.S ,dress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,abstract,print, , , , ,unknown, , , , , , , , , , , , , , 
25.0,14-16,ANNAH.S ,top,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,cami,deconstruct, , , , ,unknown, , , , , , , , , , , , , , 
59.0,10,ANNAH.S ,dress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,fringed, , , , , ,unknown, , , , , , , , , , , , , , 
30.0,8-10,ANNAH.S ,top,unknown,nylon,unknown,unknown,unknown,unknown,unknown,unknown,upper,"['mint', 'green']",mint,green, , , , , , ,slip,nz,required,stretch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,mesh,mint, , , , ,excellent,preloved, , , , , , , , , , , , , 
40.0,8-10,ANNAH.S ,dress,unknown,cotton,viscose,polyester,unknown,unknown,unknown,unknown,full_body,"['multi', 'pink', 'green']",multi,pink,green, , , , , ,nz,lined,zip,side,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,multi,print, , , , ,preloved,good, , , , , , , , , , , , , 
49.0,16-18,ANNAH.S ,dress,unknown,cotton,acetate,viscose,unknown,unknown,unknown,unknown,full_body,"['satin', 'blue']",satin,blue, , , , , , ,nz,lined,zip,back,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,satin,cocktail, , , , ,cotton,acetate,viscose, , , , , , , , , , , , 
69.0,10,ANNAH.S ,dress,unknown,silk,polyester,unknown,unknown,unknown,unknown,unknown,full_body,"['white', 'pink', 'green']",white,pink,green, , , , , ,side,nz,access,zip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,floral,blend,silk, , , ,excellent,preloved, , , , , , , , , , , , , 
65.0,14,ANNAH.S ,dress,unknown,nylon,rayon,polyester,unknown,unknown,unknown,unknown,full_body,"['black', 'brass']",black,brass, , , , , , ,style,nz,pull,stretch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,velvet,flocked, , , , ,excellent,preloved, , , , , , , , , , , , , 
65.0,14,ANNAH.S ,jumpsuit,unknown,polyester,unknown,unknown,unknown,unknown,unknown,unknown,full_body,"['brown', 'grey']",brown,grey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,wide,leg,appliqué,floral, , ,excellent,preloved, , , , , , , , , , , , , 
39.0,12,ANNE MARDELL,top,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,bn,mesh,nz, , , ,unknown, , , , , , , , , , , , , , 
60.0,10,ANNE MARDELL,belt,unknown,rayon,nylon,unknown,unknown,unknown,unknown,unknown,accessory,"['black', 'brown', 'blue', 'white']",black,brown,blue,white, , , , ,nz,adjustable,zip,back,comes,match,belt,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,cobalt,nz,dress,print, , ,excellent,preloved, , , , , , , , , , , , , 
40.0,10-12,ANNE MARDELL,top,unknown,,silk,polyester,unknown,unknown,unknown,unknown,upper,['black'],black, , , , , , , ,nz,stretch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,nz,rose,textured, , , ,excellent,preloved, , , , , , , , , , , , , 
40.0,10,ANNE MARDELL,skirt,unknown,rayon,spex,nylon,unknown,unknown,unknown,unknown,lower,['beige'],beige, , , , , , , ,elasticated,nz,waist,stretch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,nz,textured, , , , ,excellent,preloved, , , , , , , , , , , , , 
39.0,12,ANNE MARDELL ,dress,unknown,acetate,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['black'],black, , , , , , , ,style,pull, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,maxi,bias, , , , ,excellent,preloved, , , , , , , , , , , , , 
29.0,16,ANTHEA CRAWFORD,jacket,unknown,viscose,polyester,unknown,unknown,unknown,unknown,unknown,outerwear,['black'],black, , , , , , , ,eye,length,front,hook,fasten,sleeves,australia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,cropped,evening,au, , , ,excellent,preloved, , , , , , , , , , , , , 
20.0,12,ANTHEA CRAWFORD,camisole,unknown,coton,acetate,nylon,unknown,unknown,unknown,unknown,upper,['black'],black, , , , , , , ,satin,lace,front,lined,zip,velvet,side,panel,australia,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,lace,velvet,au, , , ,preloved,good, , , , , , , , , , , , , 
20.0,14,ANTHEA CRAWFORD,camisole,unknown,coton,acetate,nylon,unknown,unknown,unknown,unknown,upper,['black'],black, , , , , , , ,satin,lace,front,lined,zip,velvet,side,panel,australia,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,lace,velvet,au, , , ,excellent,preloved, , , , , , , , , , , , , 
35.0,8-10,ANTIK BATIK ,top,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ruffled, , , , , ,unknown, , , , , , , , , , , , , , 
15.0,12,ANTILIA FEMME ,top,unknown,polyester,unknown,unknown,unknown,unknown,unknown,unknown,upper,"['multi', 'red', 'green']",multi,red,green, , , , , ,slip,required,sleeve,nape,sle,button,neck, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,print,colouful,batwing, , , ,tag,new,brand, , , , , , , , , , , , 
39.0,12,ANYONE'S DAUGHTER,top,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,upper,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,damask,nz,print, , , ,unknown, , , , , , , , , , , , , , 
59.0,16,APANAGE,dress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,gr,printed,linen, , , ,unknown, , , , , , , , , , , , , , 
20.0,No size in title,Not listed in title,necklace,unknown,metal,gemstone,unknown,unknown,unknown,unknown,unknown,accessory,"['gold', 'turquoise', 'brass']",gold,turquoise,brass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,aqua,bead,charm, , , ,excellent,preloved, , , , , , , , , , , , , 
145.0,14-16,AQUASCUTUM ,coat,unknown,pure,wool,polyester,unknown,unknown,unknown,unknown,outerwear,"['multi', 'brown', 'green', 'white']",multi,brown,green,white, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,olive,wool,tweed, , , ,excellent,preloved, , , , , , , , , , , , , 
59.0,37,ARCHE,wedges, 24.5cms      WIDTH,leather,rubber,unknown,unknown,unknown,unknown,unknown,shoes,"['olive', 'green']",olive,green, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,fra,olive,leather, , , ,excellent,preloved, , , , , , , , , , , , , 
79.0,7,ARCHE,shoes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,shoes,['unknown'],unknown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,fra,leather,comfort,designer, , ,unknown, , , , , , , , , , , , , , 
